epoch,loss,split,n_seeds,mean_mae,min_mae,max_mae,note
1,ce,train,2,12.744073,12.709646,12.7785,
1,ce,train,1,12.701809,12.701809,12.701809,collapsed (CE r1)
2,ce,train,2,12.099166499999999,11.439935,12.758398,
2,ce,train,1,12.717238,12.717238,12.717238,collapsed (CE r1)
3,ce,train,2,10.824477000000002,9.105695,12.543259,
3,ce,train,1,12.801776,12.801776,12.801776,collapsed (CE r1)
4,ce,train,2,10.786388500000001,9.027184,12.545593,
4,ce,train,1,12.844699,12.844699,12.844699,collapsed (CE r1)
5,ce,train,2,10.4702825,9.28331,11.657255,
5,ce,train,1,12.690013,12.690013,12.690013,collapsed (CE r1)
6,ce,train,2,9.389846,8.951693,9.827999,
6,ce,train,1,12.756717,12.756717,12.756717,collapsed (CE r1)
7,ce,train,2,9.116653,8.589456,9.64385,
7,ce,train,1,12.829597,12.829597,12.829597,collapsed (CE r1)
8,ce,train,2,8.849658999999999,8.343977,9.355341,
8,ce,train,1,12.809112,12.809112,12.809112,collapsed (CE r1)
9,ce,train,2,8.7201605,8.132426,9.307895,
9,ce,train,1,12.900095,12.900095,12.900095,collapsed (CE r1)
10,ce,train,2,8.502446500000001,7.935717,9.069176,
10,ce,train,1,12.823572,12.823572,12.823572,collapsed (CE r1)
11,ce,train,2,8.359043,7.844023,8.874063,
11,ce,train,1,12.389484,12.389484,12.389484,collapsed (CE r1)
12,ce,train,2,7.9898565,7.540657,8.439056,
12,ce,train,1,12.249891,12.249891,12.249891,collapsed (CE r1)
13,ce,train,2,7.720975,7.285541,8.156409,
13,ce,train,1,12.615835,12.615835,12.615835,collapsed (CE r1)
14,ce,train,2,7.5362105,7.099878,7.972543,
14,ce,train,1,13.070232,13.070232,13.070232,collapsed (CE r1)
15,ce,train,2,7.1707754999999995,6.675849,7.665702,
15,ce,train,1,13.070232,13.070232,13.070232,collapsed (CE r1)
16,ce,train,2,6.8558635,6.224102,7.487625,
16,ce,train,1,13.070232,13.070232,13.070232,collapsed (CE r1)
17,ce,train,2,6.708792,6.052054,7.36553,
18,ce,train,2,6.6001595,5.908984,7.291335,
19,ce,train,2,6.4966170000000005,5.895771,7.097463,
20,ce,train,2,6.44529,5.840039,7.050541,
21,ce,train,2,6.319195499999999,5.761562,6.876829,
22,ce,train,2,6.208598,5.618982,6.798214,
23,ce,train,2,6.173405499999999,5.56009,6.786721,
24,ce,train,2,6.1118255,5.503093,6.720558,
25,ce,train,2,6.113401,5.515393,6.711409,
26,ce,train,2,6.006308499999999,5.457443,6.555174,
27,ce,train,2,5.9742025000000005,5.420408,6.527997,
28,ce,train,2,5.9339195,5.416053,6.451786,
29,ce,train,2,5.837373,5.287041,6.387705,
30,ce,train,2,5.7778405,5.231072,6.324609,
31,ce,train,2,5.7627465,5.223765,6.301728,
32,ce,train,2,5.65041,5.158119,6.142701,
33,ce,train,2,5.596243,5.140411,6.052075,
34,ce,train,2,5.5533935,5.120087,5.9867,
35,ce,train,2,5.4915325,5.108769,5.874296,
36,ce,train,2,5.4894735,5.121623,5.857324,
37,ce,train,2,5.3981355,5.023129,5.773142,
38,ce,train,2,5.2835985,4.938044,5.629153,
39,ce,train,2,5.2432345,4.962404,5.524065,
40,ce,train,2,5.1586525000000005,4.890943,5.426362,
41,ce,train,2,4.983479,4.610076,5.356882,
42,ce,train,2,4.8358285,4.422712,5.248945,
43,ce,train,2,4.769163000000001,4.348995,5.189331,
44,ce,train,2,4.7444695,4.335378,5.153561,
45,ce,train,2,4.70706,4.287226,5.126894,
46,ce,train,2,4.628676499999999,4.309339,4.948014,
47,ce,train,2,4.581619,4.238709,4.924529,
48,ce,train,2,4.5517775,4.24585,4.857705,
49,ce,train,2,4.535812999999999,4.222497,4.849129,
50,ce,train,2,4.439244,4.14695,4.731538,
51,ce,train,2,4.4399765,4.138439,4.741514,
52,ce,train,2,4.4078225,4.115987,4.699658,
53,ce,train,2,4.433522999999999,4.122208,4.744838,
54,ce,train,2,4.3059435,4.058362,4.553525,
55,ce,train,2,4.259306499999999,4.048519,4.470094,
56,ce,train,2,4.2268765,3.96397,4.489783,
57,ce,train,2,4.175663,3.938976,4.41235,
58,ce,train,2,4.1419005,3.939136,4.344665,
59,ce,train,2,4.133891,3.928578,4.339204,
60,ce,train,2,4.090994,3.930085,4.251903,
61,ce,train,2,4.231515,3.900446,4.562584,
62,ce,train,2,4.0603370000000005,3.918476,4.202198,
63,ce,train,2,4.042496,3.920527,4.164465,
64,ce,train,2,3.8378414999999997,3.75346,3.922223,
65,ce,train,1,3.646634,3.646634,3.646634,
66,ce,train,1,3.598221,3.598221,3.598221,
67,ce,train,1,3.552765,3.552765,3.552765,
68,ce,train,1,3.507173,3.507173,3.507173,
69,ce,train,1,3.483185,3.483185,3.483185,
70,ce,train,1,3.457589,3.457589,3.457589,
71,ce,train,1,3.443924,3.443924,3.443924,
72,ce,train,1,3.332899,3.332899,3.332899,
73,ce,train,1,3.305112,3.305112,3.305112,
74,ce,train,1,3.308452,3.308452,3.308452,
75,ce,train,1,3.318099,3.318099,3.318099,
76,ce,train,1,3.303756,3.303756,3.303756,
77,ce,train,1,3.294231,3.294231,3.294231,
1,ce,val,2,12.871016000000001,12.622234,13.119798,
1,ce,val,1,13.557048,13.557048,13.557048,collapsed (CE r1)
2,ce,val,2,11.5563665,9.459646,13.653087,
2,ce,val,1,13.152928,13.152928,13.152928,collapsed (CE r1)
3,ce,val,2,11.436388,10.453503,12.419273,
3,ce,val,1,12.076882,12.076882,12.076882,collapsed (CE r1)
4,ce,val,2,10.691982,8.264166,13.119798,
4,ce,val,1,12.076882,12.076882,12.076882,collapsed (CE r1)
5,ce,val,2,10.57149,9.014717,12.128263,
5,ce,val,1,13.003215,13.003215,13.003215,collapsed (CE r1)
6,ce,val,2,8.7770565,8.613112,8.941001,
6,ce,val,1,13.003691,13.003691,13.003691,collapsed (CE r1)
7,ce,val,2,9.306867,8.707146,9.906588,
7,ce,val,1,12.503152,12.503152,12.503152,collapsed (CE r1)
8,ce,val,2,9.9554325,9.474978,10.435887,
8,ce,val,1,12.076882,12.076882,12.076882,collapsed (CE r1)
9,ce,val,2,8.808876000000001,8.55563,9.062122,
9,ce,val,1,12.076882,12.076882,12.076882,collapsed (CE r1)
10,ce,val,2,8.4946825,8.024976,8.964389,
10,ce,val,1,12.076882,12.076882,12.076882,collapsed (CE r1)
11,ce,val,2,7.723668999999999,6.816764,8.630574,
11,ce,val,1,12.076882,12.076882,12.076882,collapsed (CE r1)
12,ce,val,2,7.43452,6.997196,7.871844,
12,ce,val,1,13.003691,13.003691,13.003691,collapsed (CE r1)
13,ce,val,2,7.29244,7.046947,7.537933,
13,ce,val,1,13.003691,13.003691,13.003691,collapsed (CE r1)
14,ce,val,2,7.9541645,7.6272,8.281129,
14,ce,val,1,13.003691,13.003691,13.003691,collapsed (CE r1)
15,ce,val,2,8.632686,6.524714,10.740658,
15,ce,val,1,13.003691,13.003691,13.003691,collapsed (CE r1)
16,ce,val,2,7.191832,5.574281,8.809383,
16,ce,val,1,13.003691,13.003691,13.003691,collapsed (CE r1)
17,ce,val,2,6.674487,5.797249,7.551725,
18,ce,val,2,6.151246,5.656298,6.646194,
19,ce,val,2,6.499085,5.268303,7.729867,
20,ce,val,2,6.3534505,5.911347,6.795554,
21,ce,val,2,5.89429,5.186811,6.601769,
22,ce,val,2,5.974863,5.092753,6.856973,
23,ce,val,2,6.011355,5.685636,6.337074,
24,ce,val,2,5.9921675,5.533054,6.451281,
25,ce,val,2,5.9890305,5.271174,6.706887,
26,ce,val,2,6.1318855,5.846529,6.417242,
27,ce,val,2,5.927630000000001,5.127098,6.728162,
28,ce,val,2,6.2522815000000005,5.93627,6.568293,
29,ce,val,2,5.514929,5.083884,5.945974,
30,ce,val,2,6.294516,5.344208,7.244824,
31,ce,val,2,5.449661,5.036351,5.862971,
32,ce,val,2,5.5915669999999995,5.011793,6.171341,
33,ce,val,2,5.4170175,4.870775,5.96326,
34,ce,val,2,5.467032,5.044932,5.889132,
35,ce,val,2,5.402789,4.937557,5.868021,
36,ce,val,2,5.7334605,5.729766,5.737155,
37,ce,val,2,5.7522275,5.622719,5.881736,
38,ce,val,2,5.7671535,5.499225,6.035082,
39,ce,val,2,5.417995,5.200674,5.635316,
40,ce,val,2,5.8414275,5.117019,6.565836,
41,ce,val,2,5.1479915,4.821633,5.47435,
42,ce,val,2,5.1961189999999995,4.815066,5.577172,
43,ce,val,2,5.0619495,4.748093,5.375806,
44,ce,val,2,4.9624545,4.823014,5.101895,
45,ce,val,2,5.3095395,4.75175,5.867329,
46,ce,val,2,5.0610015,4.696965,5.425038,
47,ce,val,2,4.909011,4.74321,5.074812,
48,ce,val,2,5.0466455,4.69468,5.398611,
49,ce,val,2,5.145024,4.985113,5.304935,
50,ce,val,2,4.9945319999999995,4.959943,5.029121,
51,ce,val,2,5.393485500000001,4.694574,6.092397,
52,ce,val,2,5.500059,4.889021,6.111097,
53,ce,val,2,5.109036,4.715023,5.503049,
54,ce,val,2,4.949825499999999,4.7478,5.151851,
55,ce,val,2,4.9375585,4.859503,5.015614,
56,ce,val,2,4.8238135,4.70771,4.939917,
57,ce,val,2,5.044059,4.741211,5.346907,
58,ce,val,2,4.9823695,4.733331,5.231408,
59,ce,val,2,5.1908065,4.905893,5.47572,
60,ce,val,2,4.9443285,4.717783,5.170874,
61,ce,val,2,5.0759375,4.723142,5.428733,
62,ce,val,2,4.876787,4.72117,5.032404,
63,ce,val,2,4.886804,4.718525,5.055083,
64,ce,val,2,4.7879635,4.743259,4.832668,
65,ce,val,1,4.913584,4.913584,4.913584,
66,ce,val,1,4.839935,4.839935,4.839935,
67,ce,val,1,4.864734,4.864734,4.864734,
68,ce,val,1,4.981158,4.981158,4.981158,
69,ce,val,1,4.914821,4.914821,4.914821,
70,ce,val,1,4.949562,4.949562,4.949562,
71,ce,val,1,4.901119,4.901119,4.901119,
72,ce,val,1,4.879704,4.879704,4.879704,
