Epoch,MAE train,MSE train,CE train,MAE val,MSE val,CE val
1,11.987287,11.985329,12.709646,10.819107,16.982766,13.119798
2,10.551744,11.335823,12.758398,9.480116,10.775311,13.653087
3,9.160265,10.018051,12.543259,8.564277,9.296524,12.419273
4,8.629335,8.70766,12.545593,8.014595,8.435968,13.119798
5,8.195547,7.694172,11.657255,7.860934,9.356428,12.128263
6,7.812067,7.173132,9.827999,7.385044,7.686148,8.941001
7,7.732731,6.923337,9.64385,8.763529,6.273848,8.707146
8,7.64824,6.620986,9.355341,7.088462,6.169458,9.474978
9,7.523794,6.443288,9.307895,7.453052,6.528019,8.55563
10,7.248718,6.190141,9.069176,6.346464,6.437249,8.964389
11,6.268704,6.068714,8.874063,5.286652,6.620583,8.630574
12,5.928172,5.967118,8.439056,5.204634,7.006415,7.871844
13,5.807414,5.911709,8.156409,5.289316,5.852628,7.537933
14,5.67236,5.743707,7.972543,7.962446,8.294668,7.6272
15,5.620671,5.68576,7.665702,5.03509,5.956426,10.740658
16,5.530746,5.558147,7.487625,5.031791,5.088066,8.809383
17,5.456687,5.503238,7.36553,5.266912,5.184533,7.551725
18,5.490007,5.511722,7.291335,5.467542,7.131034,6.646194
19,5.37187,5.373905,7.097463,5.134994,5.262353,7.729867
20,5.328507,5.321975,7.050541,5.241408,5.848944,6.795554
21,5.276766,5.234141,6.876829,4.988691,5.866552,6.601769
22,5.277389,5.160662,6.798214,4.862266,4.992193,6.856973
23,5.24734,5.11819,6.786721,5.634407,5.873656,6.337074
24,5.124674,5.034006,6.720558,4.729198,5.220498,6.451281
25,5.108281,4.975379,6.711409,7.427734,5.689535,6.706887
26,5.097043,4.904411,6.555174,4.757563,4.818932,6.417242
27,5.072946,4.828191,6.527997,4.821312,4.97246,6.728162
28,5.020921,4.780052,6.451786,4.798602,4.917518,6.568293
29,4.962775,4.703241,6.387705,4.957059,5.080146,5.945974
30,4.93286,4.651086,6.324609,4.572207,5.101005,7.244824
31,4.917518,4.640987,6.301728,5.055948,5.014715,5.862971
32,4.901849,4.537132,6.142701,4.659927,4.923013,6.171341
33,4.855982,4.48384,6.052075,4.614987,4.681965,5.96326
34,4.805594,4.377714,5.9867,6.398762,5.806828,5.889132
35,4.820901,4.327182,5.874296,4.726242,4.736418,5.868021
36,4.718769,4.286401,5.857324,4.634932,5.29313,5.729766
37,4.740968,4.236271,5.773142,4.527317,4.912652,5.881736
38,4.684862,4.11355,5.629153,4.639855,4.661038,6.035082
39,4.680935,4.091176,5.524065,4.630057,4.737792,5.635316
40,4.625154,4.030898,5.426362,4.469966,4.648331,6.565836
41,4.574065,3.973318,5.356882,4.998757,4.96205,5.47435
42,4.567127,3.830655,5.248945,6.134944,5.558518,5.577172
43,4.557754,3.785929,5.189331,4.827221,4.798775,5.375806
44,4.532064,3.809036,5.153561,4.458995,5.492408,5.101895
45,4.496878,3.817227,5.126894,4.647276,5.09042,5.867329
46,4.481185,3.62261,4.948014,4.616071,5.098918,5.425038
47,4.418189,3.57794,4.924529,4.906692,5.766733,5.074812
48,4.391078,3.115407,4.857705,5.094886,4.804303,5.398611
49,4.366364,2.918222,4.849129,5.176419,4.626267,5.304935
50,4.343233,2.808975,4.731538,4.83385,4.794837,5.029121
51,4.317725,2.759416,4.741514,4.332142,4.858182,6.092397
52,4.269048,2.682279,4.699658,4.360643,4.94575,6.111097
53,4.229497,2.640518,4.744838,4.432423,4.717758,5.503049
54,4.249334,2.616234,4.553525,4.469273,4.758629,5.151851
55,4.13554,2.540871,4.470094,4.743879,4.783399,5.015614
56,4.135537,2.503847,4.489783,4.412993,4.973579,4.939917
57,4.162046,2.387081,4.41235,4.487673,4.925637,5.346907
58,4.121196,2.353613,4.344665,4.42485,4.805732,5.231408
59,3.680441,2.346608,4.339204,4.383481,4.800291,5.47572
60,3.593042,2.333944,4.251903,4.32856,4.686263,5.170874
61,3.552828,2.306935,4.562584,4.35476,4.814752,5.428733
62,3.525718,2.323597,4.202198,4.965679,4.968828,5.032404
63,3.481985,,4.164465,4.307793,,5.055083
64,3.45368,,3.75346,4.317876,,4.832668
65,3.41077,,3.646634,4.330111,,4.913584
66,3.383794,,3.598221,4.444878,,4.839935
67,3.359302,,3.552765,4.428413,,4.864734
68,3.36054,,3.507173,4.43639,,4.981158
69,3.321088,,3.483185,4.408094,,4.914821
70,3.305717,,3.457589,4.450843,,4.949562
71,3.226062,,3.443924,6.433486,,4.901119
72,3.194218,,3.332899,4.688467,,4.879704
73,3.198598,,3.305112,4.455674,,4.896039
74,3.197596,,3.308452,4.343184,,4.884064
75,3.183588,,3.318099,4.445428,,4.934395
76,3.169995,,3.303756,4.362553,,4.935215
77,,,3.294231,,,5.060426
